ep,mgr_lr,loss,plan_score_mean,quality_ema,plan_len_mean,plan_len_ref_mean,plan_under_rate,plan_over_rate,anchor_hop_err_mean,anchor_near_rate,spacing_error_mean,monotonic_violation_rate,first_subgoal_hops_mean,segment_budget_error_mean,first_segment_budget_err_mean,first_segment_overshoot_mean,frontloaded_overshoot_rate,hard_anchor_near_rate,hard_under_rate,hard_first_segment_overshoot,hard_segment_budget_error,corridor_ratio_mean,mgr_grad_norm_preclip,mgr_grad_norm_postclip,manager_clip_hit_rate,mgr_entropy,mgr_nll,aux_ce_loss,warmstart_active,policy_weight,aux_weight
2200,0.0001,2.955929756164551,-4.237916946411133,0.28411835438602756,2.71875,2.0,0.0,0.1875,2.65625,0.21875,0.1579861342906952,0.0625,3.1875,2.125,1.59375,0.03125,0.0364583358168602,0.0,0.0,0.0,0.0,0.9192708730697632,33.47404861450195,20.000000576391326,1.0,2.3496530055999756,2.66817045211792,4.182092666625977,0.0,0.3,0.7
2400,0.0001,4.866983413696289,-20.226825714111328,0.25031091114686177,2.1875,3.0,0.5,0.0,3.7708334922790527,0.010416666977107525,0.47241950035095215,0.140625,9.3125,4.389322757720947,5.6458330154418945,4.6458330154418945,0.8098958730697632,0.0,0.0,0.0,0.0,0.9609375,24.516324996948242,19.99999881213354,1.0,2.865199327468872,3.280123233795166,6.891307830810547,0.0,0.3,0.7
2600,0.0001,2.5510590076446533,-4.535667419433594,0.17269560512883686,4.46875,4.0,0.0,0.15625,2.96875,0.1171875,0.09832587838172913,0.03125,4.46875,1.367844820022583,1.5,0.5625,0.355282723903656,0.1171875,0.0,0.5625,1.367844820022583,0.9447916746139526,25.16680145263672,19.99999961592554,1.0,2.6042323112487793,3.0024147033691406,3.7717978954315186,0.0,0.3,0.7
2800,0.0001,2.55983829498291,-2.946274757385254,0.27261778548629595,5.75,4.0,0.03125,0.4375,2.3515625,0.3307291865348816,0.09427087008953094,0.046875,3.125,1.4490044116973877,1.0625,0.03125,0.1462666392326355,0.3307291865348816,0.03125,0.03125,1.4490044116973877,0.9615918397903442,28.74139404296875,19.999999115472782,1.0,3.0947299003601074,2.0572171211242676,3.863581418991089,0.0,0.3,0.7
3000,0.0001,2.2548611164093018,-4.207118034362793,0.27195795715873355,4.34375,4.0,0.03125,0.03125,2.5416665077209473,0.2526041865348816,0.11006943881511688,0.03125,4.875,1.374913215637207,1.375,0.5625,0.3921874761581421,0.2526041865348816,0.03125,0.5625,1.374913215637207,0.987500011920929,20.44133949279785,19.999996146421914,1.0,2.167081356048584,3.373394727706909,3.2100582122802734,0.0,0.3,0.7
3200,0.0001,2.3093724250793457,-3.7001821994781494,0.20155447350623162,3.46875,3.0,0.0,0.03125,2.6145832538604736,0.2291666716337204,0.0998263955116272,0.02083333395421505,4.375,1.1554687023162842,1.25,0.4375,0.2328125238418579,0.0,0.0,0.0,0.0,0.9442708492279053,11.057602882385254,11.057603140765915,0.0,2.32470965385437,2.7692432403564453,3.429676055908203,0.0,0.3,0.7
3400,0.0001,1.5196800231933594,-2.337578296661377,0.26003654561793793,3.125,2.0,0.0,0.25,1.46875,0.59375,0.11631947010755539,0.015625,3.71875,1.55859375,1.03125,0.046875,0.015625,0.0,0.0,0.0,0.0,0.9557291865348816,11.938295364379883,11.938295222919328,0.0,1.877760648727417,2.1449244022369385,2.261354923248291,0.0,0.3,0.7
3600,0.0001,3.588548421859741,-11.622659683227539,0.2133828075949954,3.6875,4.0,0.46875,0.0625,3.4713542461395264,0.0494791679084301,0.2494419366121292,0.0677083358168602,6.84375,2.337803602218628,3.40625,2.484375,0.6614583730697632,0.0494791679084301,0.46875,2.484375,2.337803602218628,0.9651042222976685,17.412466049194336,17.41246675721126,0.0,3.0709729194641113,2.61926531791687,5.337273597717285,0.0,0.3,0.7
3800,0.0001,1.3505933284759521,-2.147838592529297,0.2465333740872058,3.6875,3.0,0.0,0.0,1.6666667461395264,0.5,0.0685763955116272,0.03125,3.25,1.37890625,1.0,0.0625,0.0520833358168602,0.0,0.0,0.0,0.0,0.9895833730697632,6.9711761474609375,6.971176140036578,0.0,2.3104963302612305,2.7667272090911865,2.125917434692383,0.0,0.3,0.7
4000,0.0001,1.5645956993103027,-3.6590352058410645,0.2441179369516328,3.875,4.0,0.21875,0.0,2.2526040077209473,0.2786458432674408,0.09866070747375488,0.0,3.84375,1.367274284362793,1.28125,0.328125,0.3307291865348816,0.2786458432674408,0.21875,0.328125,1.367274284362793,0.984375,13.042268753051758,13.042268306847513,0.0,2.106088399887085,3.1834254264831543,2.5655908584594727,0.0,0.3,0.7
