episode,success_rate,success_ema,goal_dist_mean,goal_hop_mean,best_goal_dist_mean,best_goal_hops_mean,progress_mean,goal_progress_per100,stagnation_fail_rate,loop_fail_rate,timeout_fail_rate,path_length_ratio,teacher_path_hops_mean,teacher_hidden_checkpoint_count_actual,worker_aux_ce_loss,worker_entropy,critic_explained_variance,hidden_checkpoint_count_mean,hidden_checkpoint_hit_rate,ordered_checkpoint_completion_ratio,hidden_checkpoint_hit_at_rank_1,hidden_checkpoint_hit_at_rank_2,hidden_checkpoint_hit_at_rank_3plus,goal_neighbor_rate,goal_neighbor_success_rate,goal_hop_1_hit_rate,goal_hop_1_to_success_rate,goal_regression_after_best4_rate,near_goal_ce_mult_applied_rate,goal_threshold_hit_8_rate,goal_threshold_hit_4_rate,goal_threshold_hit_2_rate,stagnation_reset_on_best_goal_improve_count,stagnation_reset_near_goal_count,stagnation_reset_goal4_count,stagnation_reset_goal2_count,reward_mean,loss,wkr_lr,worker_grad_pre,worker_grad_post,worker_grad_clip_hit,hidden_bonus_weight,aux_weight
2800,87.5,69.10199238749122,4012.875,1.25,2717.5625,0.75,88.32516670227051,5.02537727355957,12.5,0.0,0.0,2.2750000953674316,10.0,2.0,2.7701854705810547,0.5663703680038452,0.26719385385513306,2.0,25.0,20.3125,25.0,15.625,0.0,90.625,93.33333587646484,90.625,96.55171966552734,40.625,13.049450874328613,96.875,90.625,90.625,11.03125,1.8125,0.90625,0.90625,-15.981937408447266,0.4759293496608734,8.367318524902453e-05,1.492264578493829,1.492264578493829,0.0,0.75,0.12
3000,56.25,73.21833521538949,14856.90625,5.15625,5979.75,1.9375,46.40365540981293,2.3795948028564453,43.75,0.0,0.0,3.0182290077209473,12.0,2.0,2.811194896697998,0.48434242606163025,0.168817937374115,2.0,40.625,35.9375,40.625,31.25,0.0,56.25,100.0,56.25,100.0,53.125,5.176876544952393,93.75,87.5,71.875,9.6875,1.59375,0.875,0.71875,-62.926204681396484,0.5770604610443115,8.143889783977032e-05,1.3890899322794927,1.3890899322794927,0.0,0.75,0.12
3200,81.25,76.99141085864325,4502.875,1.53125,2800.09375,0.75,86.54894828796387,3.9386837482452393,18.75,0.0,0.0,3.4375,9.0,1.0,2.506880283355713,0.5868165493011475,0.22709518671035767,1.0,46.875,46.875,46.875,0.0,0.0,84.375,92.85713958740234,84.375,96.29629516601562,50.0,10.404040336608887,100.0,90.625,90.625,11.9375,1.8125,0.90625,0.90625,-89.8409652709961,0.4767598509788513,7.910026817952593e-05,1.0632999602237667,1.0632999602237667,0.0,0.75,0.12
3400,75.0,75.35965013383995,6275.0625,2.40625,1953.625,0.96875,81.85559511184692,2.2843642234802246,25.0,0.0,0.0,2.2302632331848145,19.0,2.0,2.8171064853668213,0.5692698359489441,0.24246126413345337,2.0,53.125,51.5625,53.125,50.0,0.0,75.0,80.0,75.0,100.0,78.125,7.374631404876709,96.875,96.875,87.5,16.0,1.84375,0.96875,0.875,-41.56932067871094,0.4578791856765747,7.666652577114221e-05,0.9004049161381417,0.9004049161381417,0.0,0.75,0.12
3600,65.625,77.45096648031037,12655.65625,4.625,8382.0,2.875,70.0762391090393,1.9401531219482422,31.25,3.125,0.0,2.9642856121063232,14.0,2.0,2.6888790130615234,0.49135276675224304,0.1226956844329834,2.0,71.875,71.875,71.875,71.875,0.0,65.625,100.0,65.625,100.0,56.25,4.743975639343262,81.25,78.125,65.625,12.84375,1.4375,0.78125,0.65625,-68.96543884277344,0.49631085991859436,7.414727548403403e-05,1.2649872384009617,1.2649872384009617,0.0,0.75,0.12
3800,78.125,80.36486220421175,7258.40625,2.25,5242.0625,1.53125,83.17399024963379,2.958787441253662,21.875,0.0,0.0,2.615384578704834,13.0,2.0,2.7397658824920654,0.5741183161735535,0.32825618982315063,2.0,50.0,42.1875,50.0,34.375,0.0,81.25,92.59259033203125,81.25,96.15384674072266,50.0,9.834558486938477,87.5,87.5,84.375,13.9375,1.71875,0.875,0.84375,-77.65249633789062,0.4798874855041504,7.155245964814825e-05,1.19221015870733,1.19221015870733,0.0,0.75,0.12
4000,87.5,77.46954451007909,3930.5,1.78125,3486.46875,1.46875,89.57399129867554,2.6033222675323486,12.5,0.0,0.0,2.90625,14.0,2.0,2.894019365310669,0.5512518286705017,0.02875661849975586,2.0,18.75,12.5,18.75,6.25,0.0,87.5,84.8484878540039,87.5,100.0,50.0,8.909370422363281,90.625,87.5,87.5,16.9375,1.75,0.875,0.875,-25.95591926574707,0.4343336224555969,6.889231881613128e-05,1.2369005575547694,1.2369005575547694,0.0,0.75,0.12
4200,87.5,78.75834115475126,6857.375,2.09375,5228.90625,1.40625,85.58557033538818,2.183781385421753,12.5,0.0,0.0,2.9441964626312256,14.0,2.0,2.8262715339660645,0.5483015179634094,0.3063279390335083,2.0,40.625,34.375,40.625,28.125,0.0,87.5,75.67567443847656,87.5,100.0,53.125,8.11220645904541,87.5,87.5,87.5,18.625,1.75,0.875,0.875,-17.132173538208008,0.415401428937912,6.617735134854393e-05,1.256950449631843,1.256950449631843,0.0,0.75,0.12
4400,75.0,79.42922267844673,7672.5625,3.0625,6035.78125,2.5625,77.0076036453247,2.1369707584381104,18.75,6.25,0.0,2.6437501907348633,15.0,2.0,2.7410714626312256,0.47658923268318176,0.06510740518569946,2.0,71.875,54.6875,71.875,37.5,0.0,75.0,96.0,75.0,100.0,62.5,7.643814563751221,81.25,81.25,78.125,12.21875,1.59375,0.8125,0.78125,-70.23806762695312,0.5100685954093933,6.341827198162983e-05,0.9017095758115444,0.9017095758115444,0.0,0.75,0.12
4600,81.25,85.90094824281924,2369.59375,1.3125,1018.09375,0.59375,90.15867710113525,2.984994888305664,18.75,0.0,0.0,2.6854166984558105,15.0,2.0,2.8143606185913086,0.4753192663192749,0.24295639991760254,2.0,46.875,37.5,46.875,28.125,0.0,93.75,66.66667175292969,93.75,86.66667175292969,65.625,10.938712120056152,96.875,96.875,93.75,12.6875,1.90625,0.96875,0.9375,-133.2886962890625,0.5303045511245728,6.062596954114682e-05,1.2520737659484513,1.2520737659484513,0.0,0.75,0.12
4800,93.75,77.60729538823837,2783.5625,0.84375,1130.25,0.28125,95.03591060638428,2.465207099914551,6.25,0.0,0.0,2.465277671813965,18.0,2.0,2.6404404640197754,0.5381993055343628,0.22065365314483643,2.0,34.375,25.0,34.375,15.625,0.0,93.75,81.0810775756836,93.75,100.0,43.75,8.028168678283691,100.0,96.875,96.875,22.28125,1.9375,0.96875,0.96875,-94.11656188964844,0.42113062739372253,5.7811463969145404e-05,1.8675728395320161,1.8675728395320161,0.0,0.75,0.12
5000,87.5,84.48579503599618,2994.875,1.15625,2021.28125,0.78125,92.92761087417603,2.152700185775757,6.25,6.25,0.0,3.3062500953674316,15.0,2.0,3.2933907508850098,0.5147865414619446,0.07087403535842896,2.0,34.375,28.125,34.375,21.875,0.0,93.75,59.574466705322266,93.75,93.33334350585938,84.375,9.262760162353516,93.75,93.75,93.75,21.375,1.875,0.9375,0.9375,-124.508056640625,0.4991970956325531,5.498586283329347e-05,1.747672126614444,1.747672126614444,0.0,0.75,0.12
