episode,success_rate,success_ema,goal_dist_mean,goal_hop_mean,best_goal_dist_mean,best_goal_hops_mean,progress_mean,goal_progress_per100,stagnation_fail_rate,loop_fail_rate,timeout_fail_rate,path_length_ratio,teacher_path_hops_mean,teacher_hidden_checkpoint_count_actual,worker_aux_ce_loss,worker_entropy,critic_explained_variance,hidden_checkpoint_count_mean,hidden_checkpoint_hit_rate,ordered_checkpoint_completion_ratio,hidden_checkpoint_hit_at_rank_1,hidden_checkpoint_hit_at_rank_2,hidden_checkpoint_hit_at_rank_3plus,goal_neighbor_rate,goal_neighbor_success_rate,goal_hop_1_hit_rate,goal_hop_1_to_success_rate,goal_regression_after_best4_rate,near_goal_ce_mult_applied_rate,goal_threshold_hit_8_rate,goal_threshold_hit_4_rate,goal_threshold_hit_2_rate,stagnation_reset_on_best_goal_improve_count,stagnation_reset_near_goal_count,stagnation_reset_goal4_count,stagnation_reset_goal2_count,reward_mean,loss,wkr_lr,worker_grad_pre,worker_grad_post,worker_grad_clip_hit,hidden_bonus_weight,aux_weight
0,68.75,3.4375,5562.28125,2.3125,1036.09375,0.6875,-22.517210245132446,10.958696365356445,31.25,0.0,0.0,5.072916507720947,3.0,0.0,6.520297050476074,0.6359929442405701,0.0035437345504760742,0.0,0.0,0.0,0.0,0.0,0.0,71.875,91.66667175292969,71.875,95.65217590332031,62.5,17.659137725830078,100.0,100.0,90.625,2.4375,0.90625,0.0,0.90625,3.085188865661621,1.5281332731246948,9.999999777933903e-05,0.9087882329954718,0.9087882329954718,0.0,2.0,0.2
200,62.5,57.153111110835354,7146.4375,2.375,1996.5,0.625,53.80454063415527,9.621255874633789,34.375,3.125,0.0,8.833333015441895,3.0,0.0,4.074766635894775,0.5610261559486389,0.014620006084442139,0.0,0.0,0.0,0.0,0.0,0.0,75.0,80.0,75.0,83.33333587646484,78.125,14.1509428024292,100.0,100.0,100.0,5.1875,1.0,0.0,1.0,-169.62425231933594,1.0181139707565308,9.991031288295083e-05,0.5692196723248406,0.5692196723248406,0.0,2.0,0.2
400,50.0,62.27628689195965,13358.78125,5.4375,8148.28125,3.21875,54.16756272315979,1.4687252044677734,43.75,6.25,0.0,3.971590995788574,11.0,2.0,3.981006622314453,0.5658709406852722,0.04923367500305176,2.0,65.625,45.3125,65.625,25.0,0.0,50.0,84.21052551269531,50.0,100.0,40.625,4.649499416351318,93.75,56.25,53.125,11.84375,1.09375,0.5625,0.53125,-65.37875366210938,0.8625778555870056,9.964338749918403e-05,0.6170032774879476,0.6170032774879476,0.0,1.5,0.17
600,53.125,67.38918335910023,8622.875,3.53125,2070.71875,1.15625,16.679146885871887,2.583523750305176,46.875,0.0,0.0,5.3333330154418945,6.0,1.0,3.5174179077148438,0.5555098056793213,0.09442698955535889,1.0,78.125,78.125,78.125,0.0,0.0,59.375,65.38461303710938,59.375,89.47368621826172,75.0,8.3984375,100.0,93.75,87.5,5.34375,1.8125,0.9375,0.875,-52.324039459228516,0.8181948065757751,9.920027506058168e-05,1.1332046582926154,1.1332046582926154,0.0,1.5,0.17
800,71.875,66.05067398691682,4504.4375,2.03125,1740.78125,0.78125,77.66764163970947,4.665671348571777,25.0,3.125,0.0,3.25,8.0,1.0,2.9859795570373535,0.5536496043205261,0.09994196891784668,1.0,90.625,90.625,90.625,0.0,0.0,81.25,79.31034851074219,81.25,88.46154022216797,71.875,11.899038314819336,100.0,93.75,87.5,8.71875,1.8125,0.9375,0.875,-87.14447021484375,0.5974703431129456,9.858272432950006e-05,0.8960433874920404,0.8960433874920404,0.0,0.75,0.12
1000,71.875,72.06466311937992,4704.25,1.75,1727.5625,0.625,78.53116989135742,3.3968312740325928,28.125,0.0,0.0,1.58423912525177,23.0,2.0,3.353276014328003,0.5981572270393372,0.16826516389846802,2.0,21.875,12.5,21.875,3.125,0.0,75.0,88.46153259277344,75.0,95.83333587646484,84.375,8.91938304901123,100.0,96.875,96.875,9.8125,1.9375,0.96875,0.96875,-56.83692932128906,0.5974708795547485,9.779317249654269e-05,2.7458505102203423,2.7458505102203423,0.0,0.75,0.12
1200,84.375,68.78643865103025,3986.40625,1.375,1971.75,0.84375,79.64977025985718,2.7345383167266846,15.625,0.0,0.0,3.423295497894287,11.0,2.0,3.3175196647644043,0.5791516304016113,0.14068907499313354,2.0,59.375,50.0,59.375,40.625,0.0,84.375,93.10344696044922,84.375,100.0,50.0,7.634855270385742,96.875,90.625,87.5,9.625,1.78125,0.90625,0.875,-167.95921325683594,0.6715702414512634,9.683473556208222e-05,4.18174444504774,4.18174444504774,0.0,0.75,0.12
1400,59.375,69.42125836951216,5865.78125,2.59375,3484.8125,1.4375,74.5198667049408,2.624948501586914,40.625,0.0,0.0,4.365624904632568,10.0,2.0,3.157090187072754,0.551648736000061,0.12929171323776245,2.0,81.25,56.25,81.25,31.25,0.0,62.5,76.0,62.5,95.0,65.625,5.7981390953063965,100.0,90.625,71.875,9.4375,1.625,0.90625,0.71875,-182.5269775390625,0.5708113312721252,9.571119603883102e-05,1.5116111532041347,1.5116111532041347,0.0,0.75,0.12
1600,100.0,74.1011267109092,0.0,0.0,0.0,0.0,100.0,6.243679046630859,0.0,0.0,0.0,1.7135417461395264,12.0,2.0,3.413053274154663,0.5632235407829285,-3.1346611976623535,2.0,40.625,32.8125,40.625,25.0,0.0,100.0,91.42857360839844,100.0,100.0,37.5,18.085105895996094,100.0,100.0,100.0,10.25,2.0,1.0,1.0,-4.261771202087402,0.4076300859451294,9.442698802399075e-05,1.7489294990560502,1.7489294990560502,0.0,0.75,0.12
1800,81.25,74.86524579657369,4432.34375,2.0625,752.4375,0.4375,73.60286116600037,4.456757545471191,18.75,0.0,0.0,1.1471353769302368,24.0,2.0,3.301539182662964,0.5196840763092041,0.23122769594192505,2.0,3.125,1.5625,3.125,0.0,0.0,84.375,86.66666412353516,84.375,96.29629516601562,68.75,11.464244842529297,100.0,96.875,96.875,8.90625,1.9375,0.96875,0.96875,-37.261878967285156,0.5723303556442261,9.298717969989721e-05,1.180932629414558,1.180932629414558,0.0,0.75,0.12
